iter	RMSE
439	0.03354332935
440	0.03346652037
441	0.03335149218
442	0.03322855391
443	0.03315324917
444	0.03305127072
445	0.03290615566
446	0.03282996334
447	0.03274081456
448	0.03265838871
449	0.03259503998
450	0.03259034051
451	0.03258605689
452	0.03246178553
453	0.03237257284
454	0.03223771573
455	0.0321253238
456	0.03206649764
457	0.03198376338
458	0.03188056598
459	0.03177756448
460	0.03169367138
461	0.03162878854
462	0.03154934505
463	0.03146882348
464	0.03140024727
465	0.03137894096
466	0.03137482098
467	0.03126360851
468	0.03122927765
469	0.03111169979
470	0.03110660766
471	0.03102335599
472	0.03087655919
473	0.03082334519
474	0.0307885942
475	0.03078045307
476	0.03070627172
477	0.03070098536
478	0.03061324813
479	0.03054709272
480	0.03053263267
481	0.03043719229
482	0.03040987706
483	0.03026870536
484	0.03024827633
485	0.03016275974
486	0.030094001
487	0.03002069724
488	0.02996615198
489	0.02986979014
490	0.02979436965
491	0.02970369264
492	0.02963668119
493	0.02953130858
494	0.02946640758
495	0.02946289402
496	0.02946041244
497	0.02935160521
498	0.02926760176
499	0.02920399347
