iter	RMSE
0	0.3655843527
1	0.3403469391
2	0.3192209884
3	0.3009232677
4	0.2819687733
5	0.2670776568
6	0.252318337
7	0.2400942369
8	0.2289277655
9	0.2175486819
10	0.2076194652
11	0.2000018418
12	0.1920659806
13	0.1850117505
14	0.1785208877
15	0.173049843
16	0.1674923626
17	0.1630575026
18	0.1583992542
19	0.1538714409
20	0.1499300078
21	0.1466650145
22	0.1435470291
23	0.1406002438
24	0.1382261233
25	0.1357255083
26	0.1335506027
27	0.1311741541
28	0.1291204186
29	0.1277365586
30	0.1259654723
31	0.1246567225
32	0.1233798534
33	0.1220399749
34	0.1208725291
35	0.1197396312
36	0.1183765787
37	0.1173409164
38	0.116432151
39	0.115493304
40	0.114448749
41	0.113145535
42	0.1125643484
43	0.1116707434
44	0.1106955199
45	0.1096311949
46	0.1088120428
47	0.1081907434
48	0.1075390882
49	0.1067606365
50	0.1060782688
51	0.1055427276
52	0.1049370464
53	0.1042216654
54	0.1033957181
55	0.102847279
56	0.1024220633
57	0.1019292613
58	0.1013912391
59	0.1008540582
60	0.1002300052
61	0.0996063685
62	0.09913663407
63	0.09885879242
64	0.098413152
65	0.09788801536
66	0.097408194
67	0.09697764379
68	0.09645531427
69	0.09610030788
70	0.09577344222
71	0.09534065359
72	0.09488472059
73	0.09430075118
74	0.09390597186
75	0.09349027162
76	0.09309093266
77	0.09279281753
78	0.09238013577
79	0.09188285671
80	0.09147055297
81	0.09099413996
82	0.09060953331
83	0.09009544125
84	0.08979951075
85	0.08940167885
86	0.08899709549
87	0.08854740349
88	0.08817812314
89	0.08782590748
90	0.08752186717
91	0.08730058233
92	0.08704879651
93	0.08674381882
94	0.0864285626
95	0.08605265985
96	0.08578889509
97	0.08553235246
98	0.08513535961
99	0.08460218222
100	0.08443217085
101	0.08409715078
102	0.08378028523
103	0.08344109506
104	0.08300335936
105	0.08272106832
106	0.08237630694
107	0.08200701406
108	0.08160517968
109	0.0813417355
110	0.0810037177
111	0.0806649364
112	0.0805664621
113	0.08015862077
114	0.08008120234
115	0.07974579154
116	0.07942822388
117	0.07919437997
118	0.07875088027
119	0.07849002752
120	0.0780643905
121	0.07793667119
122	0.07786999228
123	0.07763631959
124	0.07736819183
125	0.07712543626
126	0.0770432533
127	0.07669094437
128	0.07631439937
129	0.07611989585
130	0.07597575387
131	0.07591856105
132	0.07580734602
133	0.07545679893
134	0.07540094033
135	0.0751222507
136	0.07483207682
137	0.07447742987
138	0.07415461683
139	0.07399753695
140	0.07372843102
141	0.07364836054
142	0.07337228149
143	0.07316281162
144	0.07293070866
145	0.07253766605
146	0.0722121482
147	0.07200641932
148	0.07197103319
149	0.07192290958
150	0.07188794804
151	0.07185355777
152	0.0715966059
153	0.07156765844
154	0.07116606418
155	0.07087768215
156	0.07068232259
157	0.07042752509
158	0.07033553166
159	0.07026800635
160	0.07001651
161	0.06975820337
162	0.06958685063
163	0.06933764277
164	0.06914046233
165	0.06884438956
166	0.06853607551
167	0.06828755745
168	0.06809060199
169	0.06806617742
170	0.06774338154
171	0.06772305623
172	0.06756800425
173	0.06735117884
174	0.06705477536
175	0.06680401536
176	0.0665669819
177	0.06632966922
178	0.06628420295
179	0.06611326008
180	0.06589471868
181	0.06577321772
182	0.06553800109
183	0.06528350704
184	0.06510746525
185	0.06487669381
186	0.06467600548
187	0.06437503185
188	0.06409865947
189	0.06391045782
190	0.06360076041
191	0.06345947088
192	0.06325746151
193	0.06323584432
194	0.06296527074
195	0.06276747343
196	0.06256627678
197	0.0623308675
198	0.06220356729
199	0.06196813193
200	0.0618010519
201	0.06166084341
202	0.06145573302
203	0.06136337008
204	0.06128818778
205	0.06121534743
206	0.06103990407
207	0.0607917065
208	0.06056357744
209	0.06048514759
210	0.06023002106
211	0.05999285666
212	0.05969262681
213	0.05949283203
214	0.0592999416
215	0.05899244361
216	0.05896795888
217	0.05882264129
218	0.05856114025
219	0.05840365365
220	0.05822998123
221	0.05820518695
222	0.0580390364
223	0.05779248646
224	0.05766455405
225	0.057497454
226	0.05728389269
227	0.05726701056
228	0.05712229872
229	0.05690377267
230	0.05674346807
231	0.05659231499
232	0.05645307501
233	0.05628453
234	0.05620066217
235	0.05597313708
236	0.0557489645
237	0.05560901283
238	0.05542781451
239	0.05522455318
240	0.05512460195
241	0.05510886711
242	0.05496974029
243	0.05482949574
244	0.05481419608
245	0.05479956738
246	0.05478709681
247	0.05458988891
248	0.05441328968
249	0.05419649686
250	0.0540760508
251	0.05390158913
252	0.05368819118
253	0.05335253819
254	0.05315767237
255	0.05308114442
256	0.0527997325
257	0.05264330538
258	0.05262873512
259	0.05242732807
260	0.05229209639
261	0.05228002039
262	0.05211815469
263	0.0518484092
264	0.05178980248
265	0.05154827687
266	0.0514265171
267	0.05115133832
268	0.05091499634
269	0.05077391932
270	0.05062355605
271	0.05040665703
272	0.05029346281
273	0.0502786703
274	0.05014201612
275	0.04993940095
276	0.0498115611
277	0.04966785984
278	0.04948262798
279	0.04930613796
280	0.04919108462
281	0.04899068053
282	0.04897970076
283	0.0488290697
284	0.04862324999
285	0.0483741032
286	0.04835368486
287	0.04820223976
288	0.04804336878
289	0.04802510005
290	0.04792703277
291	0.04785902281
292	0.04772080251
293	0.04771366212
294	0.04766869945
295	0.04750879689
296	0.04747892469
297	0.04740685408
298	0.04726193459
299	0.04715094217
300	0.04708462332
301	0.04702571804
302	0.04699445509
303	0.04685715485
304	0.04673507269
305	0.04660168989
306	0.0464858144
307	0.04647979936
308	0.04621079883
309	0.04616333611
310	0.04615662623
311	0.04601324582
312	0.04584115979
313	0.04579617756
314	0.04560769518
315	0.04545863461
316	0.04532168705
317	0.04525566719
318	0.04511671101
319	0.04493379537
320	0.0447693532
321	0.04466163255
322	0.04453550839
323	0.04439385605
324	0.04425907978
325	0.04417679353
326	0.04408545882
327	0.04407642564
328	0.0440675382
329	0.04397248234
330	0.04391414461
331	0.04375701398
332	0.0436699652
333	0.04352709463
334	0.04351385268
335	0.04334664354
336	0.04334089609
337	0.04331402449
338	0.04314642403
339	0.04299198306
340	0.0428804861
341	0.04275031098
342	0.04263063064
343	0.04254693916
344	0.04254174294
345	0.04242179869
346	0.04223712397
347	0.04210286295
348	0.04204810939
349	0.04199473333
350	0.04184520455
351	0.04169869219
352	0.04169145423
353	0.04160840545
354	0.04146909391
355	0.04133837746
356	0.04126164213
357	0.0411690596
358	0.04116322269
359	0.04108854946
360	0.04093202989
361	0.04072226494
362	0.04061233337
363	0.0405138812
364	0.04039132314
365	0.04023914586
366	0.04015800182
367	0.03998203653
368	0.03997409705
369	0.03986037097
370	0.03975038684
371	0.03974591818
372	0.03961623904
373	0.03957216427
374	0.03945686008
375	0.03945251104
376	0.03937023604
377	0.0392080707
378	0.03905331132
379	0.03892280474
380	0.03882610015
381	0.03871138866
382	0.03865016168
383	0.03854851551
384	0.03840570089
385	0.03827839279
386	0.03817252216
387	0.03814600562
388	0.03805464083
389	0.03794922707
390	0.03782168834
391	0.03779431932
392	0.03770974298
393	0.03762435815
394	0.0375201161
395	0.03742998174
396	0.03741316603
397	0.03729432884
398	0.03714779436
399	0.03707065729
400	0.03700214356
401	0.03690182079
402	0.03681612244
403	0.03669911732
404	0.03661334025
405	0.03649706555
406	0.03649262199
407	0.03640864164
408	0.03630377998
409	0.03616119142
410	0.03607690725
411	0.03594295303
412	0.03593852177
413	0.0358063976
414	0.03572509733
415	0.03563826858
416	0.03553457856
417	0.03542030715
418	0.03537112621
419	0.03532016656
420	0.03525992853
421	0.03515067474
422	0.03500452982
423	0.03499061129
424	0.03489096318
425	0.03480511557
426	0.03470142366
427	0.03462163605
428	0.03449515213
429	0.03440512115
430	0.03437090097
431	0.03426775224
432	0.03419944269
433	0.03416862951
434	0.03405021404
435	0.03394977713
436	0.03383099897
437	0.03372772405
438	0.03361886448
